total_return_pct,final_capital,trades,win_rate,profit_factor,avg_win,avg_loss,best_trade,worst_trade,max_drawdown,long_trades,short_trades,liquidated,st_period,st_mult,ao_fast,ao_slow,vol_threshold,sl_atr_mult,ts_activation,ts_trail_atr_mult
17.33,117.33,57,61.4,1.07,2.5214,-3.7642,4.1761,-6.8785,-39.93,31,26,False,7,2.0,5,21,1.3,4.0,3.0,1.5
17.31,117.31,48,62.5,0.97,2.4829,-4.2858,8.2977,-6.8368,-44.72,27,21,False,7,2.0,5,34,1.3,4.0,2.0,2.0
16.81,116.81,43,67.44,1.17,1.5242,-2.7076,4.3395,-6.0845,-35.8,24,19,False,14,2.0,7,21,1.5,4.0,1.5,1.5
16.68,116.68,43,60.47,1.04,2.6882,-3.9695,7.7287,-7.0565,-42.72,25,18,False,14,2.0,5,34,1.5,4.0,3.0,3.0
16.5,116.5,40,67.5,1.16,1.8617,-3.3262,6.1059,-5.4366,-28.11,24,16,False,14,2.0,7,34,1.5,4.0,1.5,2.0
16.45,116.45,33,60.61,1.11,3.0237,-4.1936,6.6498,-5.9645,-35.23,19,14,False,10,2.0,7,34,1.5,4.0,3.0,1.5
16.43,116.43,54,42.59,1.03,2.9952,-2.1591,6.4312,-3.5283,-49.73,29,25,False,14,2.0,5,34,1.3,2.0,3.0,2.0
16.28,116.28,49,59.18,1.01,2.8765,-4.1443,6.6498,-7.7853,-40.14,27,22,False,10,2.0,5,34,1.3,4.0,3.0,1.5
16.06,116.06,43,60.47,1.05,2.9447,-4.2937,8.2977,-7.1054,-39.55,27,16,False,7,2.0,7,34,1.3,4.0,3.0,2.0
15.95,115.95,46,67.39,0.94,1.6785,-3.6804,3.3976,-6.8785,-25.47,25,21,False,7,2.0,7,21,1.3,4.0,2.0,1.5
15.65,115.65,52,51.92,1.01,2.9312,-3.1396,6.4312,-5.2924,-40.59,28,24,False,14,2.0,5,34,1.3,3.0,3.0,2.0
15.35,115.35,43,48.84,1.12,2.5812,-2.2017,6.4312,-3.5283,-49.49,25,18,False,14,2.0,5,34,1.5,2.0,2.0,2.0
14.8,114.8,42,57.14,1.02,2.3739,-3.1075,7.5002,-6.0845,-28.52,23,19,False,14,2.0,7,21,1.5,4.0,3.0,3.0
14.22,114.22,63,55.56,1.07,2.4833,-2.8961,6.9644,-4.8379,-58.44,35,28,False,10,2.0,5,21,1.3,3.0,3.0,1.5
